loc_rowid,fpl_hostname,fpl_letter,fpl_name,fpl_orbper,fpl_bmasse,fpl_rade,fpl_eqt
1,11 Com,b,11 Com b,326.03000000,6165.60000,12.100,
2,11 UMi,b,11 UMi b,516.21997000,4684.81420,12.300,
3,14 And,b,14 And b,185.84000000,1525.50000,12.900,
4,14 Her,b,14 Her b,1773.40002000,1481.08780,12.900,
5,16 Cyg B,b,16 Cyg B b,798.50000000,565.73740,13.500,
6,18 Del,b,18 Del b,993.30000000,3273.50000,12.500,
7,1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,,3000.00000,18.647,1700
8,24 Boo,b,24 Boo b,30.35060000,289.22530,13.900,
9,24 Sex,b,24 Sex b,452.80000000,632.46000,13.400,
10,24 Sex,c,24 Sex c,883.00000000,273.32000,13.900,
11,2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,,7786.50000,11.209,1600
12,2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,,4417.83700,16.141,
13,2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,,2383.60000,12.600,
14,2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,,1271.00000,13.000,1150
15,2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,416.00000000,603.87700,13.400,
16,2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,7336.50000000,6657.48000,10.310,2075
17,2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,,3972.87500,12.300,
18,30 Ari B,b,30 Ari B b,335.10001000,4392.41060,12.300,
19,4 UMa,b,4 UMa b,269.30000000,2256.50000,12.700,
20,42 Dra,b,42 Dra b,479.10000000,1233.13000,13.000,
21,47 UMa,b,47 UMa b,1078.00000000,804.08000,13.200,
22,47 UMa,c,47 UMa c,2391.00000000,171.62100,14.200,
23,47 UMa,d,47 UMa d,14002.00000000,521.22000,13.500,
24,51 Eri,b,51 Eri b,14965.00000000,635.66000,13.400,700
25,51 Peg,b,51 Peg b,4.23078500,146.20180,14.300,
26,55 Cnc,b,55 Cnc b,14.65152000,263.97850,13.900,700
27,55 Cnc,c,55 Cnc c,44.41750000,54.47380,8.510,
28,55 Cnc,d,55 Cnc d,4825.00000000,1232.49300,13.000,
29,55 Cnc,e,55 Cnc e,0.73653900,8.08000,1.910,1958
30,55 Cnc,f,55 Cnc f,262.00000000,44.81200,7.590,
31,6 Lyn,b,6 Lyn b,934.30000000,638.83830,13.400,
32,61 Vir,b,61 Vir b,4.21500000,5.10000,2.110,
33,61 Vir,c,61 Vir c,38.02100000,18.20000,4.460,
34,61 Vir,d,61 Vir d,123.01000000,22.90000,5.110,
35,7 CMa,b,7 CMa b,796.00000000,781.86180,13.300,
36,70 Vir,b,70 Vir b,116.68800000,2380.45000,12.600,
37,75 Cet,b,75 Cet b,691.90000000,953.49000,13.100,
38,8 UMi,b,8 UMi b,93.40000000,416.35730,13.600,
39,81 Cet,b,81 Cet b,952.70000000,1684.40000,12.800,
40,91 Aqr,b,91 Aqr b,181.40000000,1017.00000,13.100,
41,AB Pic,b,AB Pic b,,4290.50000,12.300,
42,BD+03 2562,b,BD+03 2562 b,481.90000000,2034.11200,12.700,
43,BD+14 4559,b,BD+14 4559 b,268.94000000,330.54320,13.800,
44,BD+15 2375,b,BD+15 2375 b,153.22000000,337.21763,13.800,
45,BD+15 2940,b,BD+15 2940 b,137.48000000,352.78000,13.700,
46,BD+20 2457,b,BD+20 2457 b,379.63000000,17668.16970,11.600,
