fpl_hostname,fpl_letter,fpl_name,fpl_orbper,fpl_smax,fpl_eccen,fpl_bmasse,fpl_rade,fpl_dens,fpl_eqt
11 Com,b,11 Com b,326.03,1.29,0.231,6165.6,12.1,19.1,
11 UMi,b,11 UMi b,516.21997,1.53,0.08,4684.8142,12.3,13.8,
14 And,b,14 And b,185.84,0.83,0,1525.5,12.9,3.9,
14 Her,b,14 Her b,1773.40002,2.93,0.37,1481.0878,12.9,3.79,
16 Cyg B,b,16 Cyg B b,798.5,1.66,0.68,565.7374,13.5,1.26,
18 Del,b,18 Del b,993.3,2.6,0.08,3273.5,12.5,9.21,
1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,,330,,3000,18.647,2.54,1700
24 Boo,b,24 Boo b,30.3506,0.19,0.042,289.2253,13.9,0.592,
24 Sex,b,24 Sex b,452.8,1.333,0.09,632.46,13.4,1.44,
24 Sex,c,24 Sex c,883,2.08,0.29,273.32,13.9,0.559,
2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,,52,,7786.5,11.209,30.4,1600
2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,,156,,4417.837,16.141,5.77,
2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,,15,,2383.6,12.6,6.55,
2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,,46,,1271,13,3.18,1150
2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,416,0.92,,603.877,13.4,1.38,
2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,7336.5,,0.26,6657.48,10.31,33.4,2075
2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,,230,,3972.875,12.3,11.7,
30 Ari B,b,30 Ari B b,335.10001,0.99,0.29,4392.4106,12.3,13,
4 UMa,b,4 UMa b,269.3,0.87,0.432,2256.5,12.7,6.05,
42 Dra,b,42 Dra b,479.1,1.19,0.38,1233.13,13,3.08,
47 UMa,b,47 UMa b,1078,2.1,0.032,804.08,13.2,1.92,
47 UMa,c,47 UMa c,2391,3.6,0.098,171.621,14.2,0.329,
47 UMa,d,47 UMa d,14002,11.6,0.16,521.22,13.5,1.16,
51 Eri,b,51 Eri b,14965,13.2,0.21,635.66,13.4,1.45,700
51 Peg,b,51 Peg b,4.230785,0.0527,0.013,146.2018,14.3,0.275,
55 Cnc,b,55 Cnc b,14.65152,0.115227,0.0034,263.9785,13.9,0.54,700
55 Cnc,c,55 Cnc c,44.4175,0.241376,0.02,54.4738,8.51,0.486,
55 Cnc,d,55 Cnc d,4825,5.503,0.019,1232.493,13,3.08,
55 Cnc,e,55 Cnc e,0.736539,0.01544,0.028,8.08,1.91,6.4,1958
55 Cnc,f,55 Cnc f,262,0.788,0.305,44.812,7.59,0.563,
6 Lyn,b,6 Lyn b,934.3,2.11,0.073,638.8383,13.4,1.46,
61 Vir,b,61 Vir b,4.215,0.050201,0.12,5.1,2.11,2.98,
61 Vir,c,61 Vir c,38.021,0.2175,0.14,18.2,4.46,1.13,
61 Vir,d,61 Vir d,123.01,0.476,0.35,22.9,5.11,0.943,
7 CMa,b,7 CMa b,796,1.93,0.22,781.8618,13.3,1.83,
70 Vir,b,70 Vir b,116.688,0.481,0.3988,2380.45,12.6,6.54,
75 Cet,b,75 Cet b,691.9,2.1,0.117,953.49,13.1,2.33,
8 UMi,b,8 UMi b,93.4,0.49,0.06,416.3573,13.6,0.91,
81 Cet,b,81 Cet b,952.7,2.5,0.206,1684.4,12.8,4.41,
91 Aqr,b,91 Aqr b,181.4,0.7,0.027,1017,13.1,2.49,
AB Pic,b,AB Pic b,,260,,4290.5,12.3,12.7,
BD+03 2562,b,BD+03 2562 b,481.9,1.3,0.2,2034.112,12.7,5.46,
BD+14 4559,b,BD+14 4559 b,268.94,0.78,0.29,330.5432,13.8,0.691,
BD+15 2375,b,BD+15 2375 b,153.22,0.576,0.001,337.21763,13.8,0.705,
BD+15 2940,b,BD+15 2940 b,137.48,0.539,0.26,352.78,13.7,0.754,
BD+20 2457,b,BD+20 2457 b,379.63,1.05,0.15,17668.1697,11.6,62.2,
BD+20 2457,c,BD+20 2457 c,621.99,2.01,0.18,3963.17,12.4,11.4,
BD+20 274,b,BD+20 274 b,578.2,1.3,0.21,1334.886,13,3.34,
BD+20 594,b,BD+20 594 b,41.6855,0.241,0,22.2481,2.578,7.89,546
BD+48 738,b,BD+48 738 b,392.6,1,0.2,289.2253,13.9,0.592,
BD+48 740,b,BD+48 740 b,733,1.7,0.76,540.311,13.5,1.21,
BD+49 828,b,BD+49 828 b,2590,4.2,0.35,508.5,13.5,1.14,
BD-06 1339,b,BD-06 1339 b,3.8728,0.0428,0,8.5,2.85,2.02,
BD-06 1339,c,BD-06 1339 c,125.94,0.435,0.31,53,8.38,0.495,
BD-08 2823,b,BD-08 2823 b,5.6,0.06,0.15,12.7132,3.61,1.48,
BD-08 2823,c,BD-08 2823 c,237.6,0.68,0.19,104,12.5,0.293,
BD-10 3166,b,BD-10 3166 b,3.48777,0.04,0.02,187.5197,14.1,0.368,
BD-11 4672,b,BD-11 4672 b,1667,2.28,0.05,168.44,14.2,0.323,
BD-13 2130,b,BD-13 2130 b,714.29999,1.66,0.21,3108.3774,12.5,8.75,
BD-17 63,b,BD-17 63 b,655.59998,1.34,0.54,905.8155,13.2,2.16,
CFBDSIR J145829+101343,b,CFBDSIR J145829+101343 b,10037.5,2.6,,3337.1,12.4,9.62,370
CHXR 73,b,CHXR 73 b,,210,,3994.486,12.3,11.8,
CT Cha,b,CT Cha b,,440,,5403,24.66,1.98,2600
CoRoT-1,b,CoRoT-1 b,1.5089557,0.02752,0,327.35,16.7,0.38,1898
CoRoT-10,b,CoRoT-10 b,13.2406,0.1055,0.53,874,10.87,3.7,600
CoRoT-11,b,CoRoT-11 b,2.99433,0.0436,0,740.51,16.03,0.99,1657
CoRoT-12,b,CoRoT-12 b,2.828042,0.04016,0.07,291.438,16.14,0.411,1442
CoRoT-13,b,CoRoT-13 b,4.03519,0.051,0,415.704,9.92,2.34,1700
CoRoT-14,b,CoRoT-14 b,1.51214,0.027,0,2415.4,12.22,7.3,1952
CoRoT-16,b,CoRoT-16 b,5.35227,0.0618,0.33,170.032,13.11,0.44,
CoRoT-17,b,CoRoT-17 b,3.7681,0.0461,0,772.29,11.43,2.82,1626
CoRoT-18,b,CoRoT-18 b,1.9000693,0.0295,0.08,1102.82,14.68,2.2,1550
CoRoT-19,b,CoRoT-19 b,3.89713,0.0518,0.047,352.78,14.46,0.71,2000
CoRoT-2,b,CoRoT-2 b,1.7429935,0.02798,0.0143,1102.82,16.432,1.47,1521
CoRoT-20,b,CoRoT-20 b,9.24285,0.09,0.59,1366.669,9.416,8.87,1002
CoRoT-20,c,CoRoT-20 c,1675,2.9,0.6,5403.11,12.2,16.4,
CoRoT-21,b,CoRoT-21 b,2.72474,0.0417,0,718.2958,14.572,1.36,
CoRoT-22,b,CoRoT-22 b,9.75598,0.092,0.077,12.2,4.88,0.249,885
CoRoT-23,b,CoRoT-23 b,3.6313,0.048,0.16,889.9,11.77,3,1660
CoRoT-24,b,CoRoT-24 b,5.1134,0.056,0,5.7,3.7,0.9,1070
CoRoT-24,c,CoRoT-24 c,11.759,0.098,0,28,5,1.3,850
CoRoT-25,b,CoRoT-25 b,4.86069,0.0578,0,85.81,12.11,0.15,1330
CoRoT-26,b,CoRoT-26 b,4.20474,0.0526,0,165.26,14.12,0.28,1600
CoRoT-27,b,CoRoT-27 b,3.57532,0.0476,0.065,3302.11,11.287,12.6,1500
CoRoT-28,b,CoRoT-28 b,5.20851,0.0603,0.047,153.82972,10.705,0.69,
CoRoT-29,b,CoRoT-29 b,2.85057,0.0386,0.082,270.1555,10.088,1.45,
